Year,Player,Pos,Age,Tm,ORtg,DRtg
1981,Kenny Carr,PF,25,CLE,107,106
1981,M.L. Carr,SF,30,BOS,100,103
1981,Joe Barry Carroll,C,22,GSW,106,108
1981,Butch Carter,SF,22,LAL,103,108
1981,Reggie Carter,SG,23,NYK,91,107
1981,Bill Cartwright,C,23,NYK,116,105
1981,Harvey Catchings,PF,29,MIL,97,98
1981,Maurice Cheeks*,PG,24,PHI,114,99
1981,Phil Chenier,SG,30,GSW,94,114
1981,Jim Chones,PF,31,LAL,103,104
1981,Art Collins,SG,26,ATL,81,111
1981,Don Collins,SF,22,TOT,99,105
1981,Don Collins,SF,22,ATL,101,107
1981,Don Collins,SF,22,WSB,96,103
1981,Doug Collins*,SG,29,PHI,106,104
1981,Darwin Cook,SG,22,NJN,99,105
1981,Jeff Cook,SF,24,PHO,100,100
1981,Michael Cooper*,SG,24,LAL,106,105
1981,Wayne Cooper,C,24,UTA,100,108
1981,Dave Corzine,C,24,SAS,108,104
1981,Charlie Criss,PG,32,ATL,107,111
1981,Geoff Crompton,C,25,POR,80,101
1981,Pat Cummings,C,24,MIL,104,101
1981,Earl Cureton,C,23,PHI,99,97
1981,Bob Dandridge*,SF,33,WSB,94,104
1981,Adrian Dantley*,SF,25,UTA,118,111
1981,Brad Davis,PG,25,DAL,118,112
1981,Johnny Davis,PG,25,IND,110,109
1981,Monti Davis,PF,22,TOT,53,105
1981,Monti Davis,PF,22,PHI,200,92
1981,Monti Davis,PF,22,DAL,40,109
1981,Ron Davis,SF,26,SDC,97,108
1981,Walter Davis*,SG,26,PHO,109,102
1981,Darryl Dawkins,C,24,PHI,106,98
1981,Larry Demic,PF,23,NYK,106,107
1981,Coby Dietrick,C,32,CHI,102,104
1981,James Donaldson,C,23,SEA,108,102
1981,Jacky Dorsey,SF,26,SEA,77,100
1981,Leon Douglas,C,26,KCK,109,104
1981,John Drew,SF,26,ATL,107,107
1981,Larry Drew,PG,22,DET,88,106
1981,Ralph Drollinger,C,26,DAL,73,108
1981,Terry Duerod,SG-SF,24,TOT,97,110
1981,Terry Duerod,SF,24,DAL,96,111
1981,Terry Duerod,SG,24,BOS,99,107
1981,Mike Dunleavy,SG,26,HOU,107,109
1981,T.R. Dunn,SG,25,DEN,104,109
1981,John Duren,PG,22,UTA,69,111
1981,James Edwards,C,25,IND,111,105
1981,Bob Elliott,C,25,NJN,101,108
1981,Len Elmore,C,28,MIL,97,100
1981,Alex English*,SF,27,DEN,112,110
1981,Julius Erving*,SF,30,PHI,113,97
1981,Mike Evans,PG,25,MIL,103,105
1981,Eric Fernsten,C,27,BOS,102,104
1981,Chris Ford,SG,32,BOS,103,107
1981,Don Ford,SF,28,CLE,101,112
1981,Phil Ford,PG,24,KCK,107,107
1981,World B. Free,SG,27,GSW,115,112
1981,Tony Fuller,SG,22,DET,82,105
1981,Mike Gale,PG,30,TOT,107,104
1981,Mike Gale,PG,30,SAS,109,104
1981,Mike Gale,PG,30,POR,105,104
1981,Calvin Garrett,SF,24,HOU,99,108
1981,Gus Gerard,SF,27,TOT,97,104
1981,Gus Gerard,SF,27,KCK,98,104
1981,Gus Gerard,SF,27,SAS,95,103
1981,George Gervin*,SG,28,SAS,113,107
1981,Artis Gilmore*,C,31,CHI,123,103
1981,Mike Glenn,PG,25,NYK,118,107
1981,Mike Gminski,C,21,NJN,95,104
1981,Glen Gondrezick,PF,25,DEN,113,104
1981,Rickey Green,PG,26,UTA,105,109
1981,Dave Greenwood,PF,23,CHI,109,104
1981,Kevin Grevey,SG,27,WSB,107,106
1981,Paul Griffin,PF,27,SAS,113,104
1981,Darrell Griffith,SG,22,UTA,95,111
1981,Bob Gross,SF,27,POR,110,105
1981,Ernie Grunfeld,SF,25,KCK,109,105
1981,Roy Hamilton,PG,23,POR,83,107
1981,Bill Hanzlik,SF,23,SEA,107,106
1981,Alan Hardy,SG,23,LAL,81,106
1981,James Hardy,PF,24,UTA,101,105
1981,Mike Harper,PF,23,POR,86,103
1981,Joe Hassett,SG,25,TOT,114,113
1981,Joe Hassett,SG,25,DAL,98,114
1981,Joe Hassett,SG,25,GSW,126,113
1981,Steve Hawes,C,30,ATL,112,106
1981,Elvin Hayes*,PF,35,WSB,97,100
1981,Gar Heard,PF,32,SDC,96,103
1981,Gerald Henderson,PG,25,BOS,94,105
1981,Tom Henderson,SG,29,HOU,103,110
1981,Keith Herron,SG,24,DET,103,107
1981,Kenny Higgs,PG,26,DEN,101,110
1981,Johnny High,PG,23,PHO,93,98
1981,Armond Hill,PG,27,TOT,95,108
1981,Armond Hill,PG,27,ATL,87,109
1981,Armond Hill,PG,27,SEA,100,107
1981,Brad Holland,SG,24,LAL,92,104
1981,Lionel Hollins,PG,27,PHI,96,102
1981,Cedrick Hordges,PF,24,DEN,100,109
1981,Phil Hubbard,PF,24,DET,103,104
1981,Kim Hughes,C,28,TOT,76,103
1981,Kim Hughes,C,28,DEN,93,102
1981,Kim Hughes,C,28,CLE,68,104
1981,Geoff Huston,PG,23,TOT,103,114
1981,Geoff Huston,PG,23,DAL,101,114
1981,Geoff Huston,PG,23,CLE,112,113
1981,Dan Issel*,C,32,DEN,121,109
1981,Tony Jackson,PG,23,LAL,102,95
1981,Abdul Jeelani,SF,26,DAL,102,108
1981,Clemon Johnson,C,24,IND,105,102
1981,Dennis Johnson*,PG,26,PHO,108,100
1981,Eddie Johnson,SG,25,ATL,111,109
1981,George Johnson,C,32,SAS,105,100
1981,George Johnson,PF,24,IND,103,101
1981,John Johnson,SF,33,SEA,95,107
1981,Lee Johnson,PF,23,TOT,65,106
1981,Lee Johnson,PF,23,HOU,68,106
1981,Lee Johnson,PF,23,DET,0,107
1981,Magic Johnson*,SG,21,LAL,115,98
1981,Marques Johnson,SF,24,MIL,118,102
1981,Mickey Johnson,PF,28,MIL,103,100
1981,Ollie Johnson,SF,31,PHI,110,100
1981,Reggie Johnson,PF,23,SAS,104,106
1981,Vinnie Johnson,PG,24,SEA,110,107
1981,Bobby Jones*,PF,29,PHI,118,99
1981,Caldwell Jones,C,30,PHI,98,97
