Year,Team,Player,Pos,Ht_in,Wt,Birth_Date,Birth,Exp,College
2007,NJN,Bernard Robinson,SF,78.00,210,26-Dec-80,us US,2,Michigan
2010,NJN,Terrence Williams,SF,78.00,220,28-Jun-87,us US,R,Louisville
1982,SAS,Roger Phegley,SG,78.00,205,16-Oct-56,us US,3,Bradley
1984,SAS,Roger Phegley,SG,78.00,205,16-Oct-56,us US,5,Bradley
1985,SAS,Billy Knight,SF,78.00,195,9-Jun-52,us US,10,Pitt
1987,SAS,Tyrone Corbin,SF,78.00,210,31-Dec-62,us US,1,DePaul
1987,SAS,Anthony Jones,SF,78.00,195,13-Sep-62,us US,R,"Georgetown, UNLV"
1988,SAS,Pete Myers,SG,78.00,180,15-Sep-63,us US,1,Little Rock
1988,SAS,Richard Rellford,SF,78.00,230,16-Feb-64,us US,R,Michigan
1991,SAS,Pete Myers,SG,78.00,180,15-Sep-63,us US,4,Little Rock
2003,SAS,Manu Ginobili,SG,78.00,205,28-Jul-77,ar AR,R,
2004,SAS,Matt Carroll,SG,78.00,212,28-Aug-80,us US,R,Notre Dame
2004,SAS,Manu Ginobili,SG,78.00,205,28-Jul-77,ar AR,1,
2006,SAS,Brent Barry,SG,78.00,185,31-Dec-71,us US,10,Oregon State
2006,SAS,Manu Ginobili,SG,78.00,205,28-Jul-77,ar AR,3,
2007,SAS,Brent Barry,SG,78.00,185,31-Dec-71,us US,11,Oregon State
2007,SAS,Manu Ginobili,SG,78.00,205,28-Jul-77,ar AR,4,
2010,SAS,Manu Ginobili,SG,78.00,205,28-Jul-77,ar AR,7,
2010,SAS,Malik Hairston,SG,78.00,220,23-Feb-87,us US,1,Oregon
2013,SAS,James Anderson,SF,78.00,213,25-Mar-89,us US,2,Oklahoma State
2013,SAS,Manu Ginobili,SG,78.00,205,28-Jul-77,ar AR,10,
2013,SAS,Danny Green,SG,78.00,215,22-Jun-87,us US,3,UNC
2016,SAS,Manu Ginobili,SG,78.00,205,28-Jul-77,ar AR,13,
2016,SAS,Danny Green,SG,78.00,215,22-Jun-87,us US,6,UNC
2016,SAS,Jonathon Simmons,SG,78.00,195,14-Sep-89,us US,R,Houston
2017,SAS,Manu Ginobili,SG,78.00,205,28-Jul-77,ar AR,14,
2017,SAS,Danny Green,SG,78.00,215,22-Jun-87,us US,7,UNC
2017,SAS,Jonathon Simmons,SG,78.00,195,14-Sep-89,us US,1,Houston
2019,SAS,DeMar DeRozan,SG,78.00,220,7-Aug-89,us US,9,USC
2020,SAS,DeMarre Carroll,SF,78.00,215,27-Jul-86,us US,10,"Vanderbilt, Missouri"
2020,SAS,DeMar DeRozan,SF,78.00,220,7-Aug-89,us US,10,USC
2022,SAS,Anthony Lamb,SF,78.00,227,20-Jan-98,us US,1,University of Vermont
2022,SAS,Doug McDermott,PF,78.00,225,3-Jan-92,us US,7,Creighton
2022,SAS,Joshua Primo,SF,78.00,190,24-Dec-02,ca CA,R,Alabama
2022,SAS,Joe Wieskamp,SG,78.00,212,23-Aug-99,us US,R,Iowa
2023,SAS,Stanley Johnson,SF,78.00,242,29-May-96,us US,7,Arizona
2023,SAS,Doug McDermott,SF,78.00,225,3-Jan-92,us US,8,Creighton
2023,SAS,Joshua Primo,SG,78.00,190,24-Dec-02,ca CA,1,Alabama
1981,POR,Bob Gross,SF,78.00,200,3-Aug-53,us US,5,"Seattle University, Cal State Long Beach"
1981,POR,Calvin Natt,SF,78.00,220,8-Jan-57,us US,1,Louisiana-Monroe
1981,POR,Jim Paxson,SG,78.00,200,9-Jul-57,us US,1,Dayton
1982,POR,Bob Gross,SF,78.00,200,3-Aug-53,us US,6,"Seattle University, Cal State Long Beach"
1982,POR,Jeff Lamp,SF,78.00,195,9-Mar-59,us US,R,Virginia
1982,POR,Calvin Natt,SF,78.00,220,8-Jan-57,us US,2,Louisiana-Monroe
1982,POR,Jim Paxson,SG,78.00,200,9-Jul-57,us US,2,Dayton
1984,POR,Jeff Lamp,SF,78.00,195,9-Mar-59,us US,2,Virginia
1984,POR,Calvin Natt,SF,78.00,220,8-Jan-57,us US,4,Louisiana-Monroe
1984,POR,Jim Paxson,SG,78.00,200,9-Jul-57,us US,4,Dayton
1985,POR,Jim Paxson,SG,78.00,200,9-Jul-57,us US,5,Dayton
1985,POR,Bernard Thompson,SF,78.00,210,30-Aug-62,us US,R,Fresno State
1987,POR,Jim Paxson,SG,78.00,200,9-Jul-57,us US,7,Dayton
1988,POR,Jim Paxson,SG,78.00,200,9-Jul-57,us US,8,Dayton
1991,POR,Walter Davis,SG,78.00,193,9-Sep-54,us US,13,UNC
1998,POR,Vincent Askew,SG,78.00,210,28-Feb-66,us US,8,Memphis
2004,POR,Matt Carroll,SG,78.00,212,28-Aug-80,us US,R,Notre Dame
2004,POR,Wesley Person,SG,78.00,195,28-Mar-71,us US,9,Auburn
2007,POR,Stephen Graham,SG,78.00,215,11-Jun-82,us US,1,"Central Florida, Oklahoma State"
2007,POR,Jeremy Richardson,SF,78.00,185,1-Mar-84,us US,R,Delta State University
2007,POR,Brandon Roy,SG,78.00,215,23-Jul-84,us US,R,Washington
2007,POR,Ime Udoka,SF,78.00,215,9-Aug-77,us US,2,"San Francisco, Portland State"
2010,POR,Rudy Fernandez,SG,78.00,185,4-Apr-85,es ES,1,
2010,POR,Brandon Roy,SG,78.00,215,23-Jul-84,us US,3,Washington
2017,POR,Tim Quarterman,SG,78.00,195,27-Oct-94,us US,R,LSU
2017,POR,Evan Turner,SF,78.00,220,27-Oct-88,us US,6,Ohio State
2019,POR,Nik Stauskas,SG,78.00,205,7-Oct-93,ca CA,4,Michigan
2019,POR,Evan Turner,PG,78.00,220,27-Oct-88,us US,8,Ohio State
2023,POR,Shaedon Sharpe,SG,78.00,200,30-May-03,ca CA,R,Kentucky
2023,POR,Justise Winslow,PF,78.00,222,26-Mar-96,us US,7,Duke
1982,MIL,Bob Dandridge,SF,78.00,195,15-Nov-47,us US,12,Norfolk State
1985,MIL,Paul Thompson,SF,78.00,210,25-May-61,us US,1,Tulane
1987,MIL,Dudley Bradley,SG,78.00,195,19-Mar-57,us US,6,UNC
1987,MIL,Don Collins,SF,78.00,190,28-Nov-58,us US,5,Washington State
1988,MIL,Dudley Bradley,SG,78.00,195,19-Mar-57,us US,7,UNC
1994,MIL,Todd Day,SG,78.00,188,7-Jan-70,us US,1,Arkansas
2001,MIL,Michael Redd,SG,78.00,220,24-Aug-79,us US,R,Ohio State
2003,MIL,Michael Redd,SG,78.00,220,24-Aug-79,us US,2,Ohio State
2004,MIL,Michael Redd,SG,78.00,220,24-Aug-79,us US,3,Ohio State
2007,MIL,David Noel,PF,78.00,230,27-Feb-84,us US,R,UNC
2007,MIL,Michael Redd,SF,78.00,220,24-Aug-79,us US,6,Ohio State
2010,MIL,Carlos Delfino,SF,78.00,230,29-Aug-82,ar AR,4,
2010,MIL,Michael Redd,SG,78.00,220,24-Aug-79,us US,9,Ohio State
2010,MIL,Jerry Stackhouse,SG,78.00,218,5-Nov-74,us US,14,UNC
2013,MIL,Marquis Daniels,SF,78.00,200,7-Jan-81,us US,9,Auburn
2014,MIL,Tony Mitchell,SF,78.00,216,7-Aug-89,us US,R,Alabama
2016,MIL,Greivis Vasquez,PG,78.00,217,16-Jan-87,ve VE,5,Maryland
2016,MIL,Rashad Vaughn,SG,78.00,202,16-Aug-96,us US,R,UNLV
2017,MIL,Tony Snell,SG,78.00,213,10-Nov-91,us US,3,New Mexico
2017,MIL,Rashad Vaughn,SG,78.00,202,16-Aug-96,us US,1,UNLV
2019,MIL,Bonzie Colson,SF,78.00,224,12-Jan-96,us US,R,Notre Dame
2019,MIL,Tony Snell,SF,78.00,213,10-Nov-91,us US,5,New Mexico
2023,MIL,MarJon Beauchamp,SF,78.00,199,12-Oct-00,us US,R,Yakima Valley Community College
2023,MIL,Jae Crowder,PF,78.00,235,6-Jul-90,us US,10,Marquette
1981,PHI,Doug Collins,SG,78.00,180,28-Jul-51,us US,7,Illinois State
1981,PHI,Ollie Johnson,SF,78.00,200,11-May-49,us US,8,Temple
1982,PHI,Ollie Johnson,SF,78.00,200,11-May-49,us US,9,Temple
1985,PHI,Charles Barkley,PF,78.00,252,20-Feb-63,us US,R,Auburn
1988,PHI,Vincent Askew,SG,78.00,210,28-Feb-66,us US,R,Memphis
1988,PHI,Charles Barkley,PF,78.00,252,20-Feb-63,us US,3,Auburn
1988,PHI,Albert King,SF,78.00,190,17-Dec-59,us US,6,Maryland
1991,PHI,Charles Barkley,SF,78.00,252,20-Feb-63,us US,6,Auburn
1994,PHI,Clarence Weatherspoon,SF,78.00,240,8-Sep-70,us US,1,Southern Miss
1995,PHI,Clarence Weatherspoon,SF,78.00,240,8-Sep-70,us US,2,Southern Miss
1997,PHI,Jerry Stackhouse,SG,78.00,218,5-Nov-74,us US,1,UNC
1997,PHI,Clarence Weatherspoon,SF,78.00,240,8-Sep-70,us US,4,Southern Miss
1998,PHI,Jim Jackson,SG,78.00,220,14-Oct-70,us US,5,Ohio State
1998,PHI,Anthony Parker,SG,78.00,215,19-Jun-75,us US,R,Bradley
1998,PHI,Brian Shaw,PG,78.00,190,22-Mar-66,us US,8,"Saint Mary's, UC Santa Barbara"
1998,PHI,Jerry Stackhouse,SF,78.00,218,5-Nov-74,us US,2,UNC
1998,PHI,Clarence Weatherspoon,PF,78.00,240,8-Sep-70,us US,5,Southern Miss
2007,PHI,Andre Iguodala,SG,78.00,215,28-Jan-84,us US,2,Arizona
2010,PHI,Andre Iguodala,SF,78.00,215,28-Jan-84,us US,5,Arizona
2013,PHI,Justin Holiday,SG,78.00,180,5-Apr-89,us US,R,Washington
2013,PHI,Jason Richardson,SG,78.00,220,20-Jan-81,us US,11,Michigan State
2013,PHI,Evan Turner,SF,78.00,220,27-Oct-88,us US,2,Ohio State
2013,PHI,Damien Wilkins,SG,78.00,225,11-Jan-80,us US,8,"NC State, Georgia"
2014,PHI,James Anderson,SG,78.00,213,25-Mar-89,us US,3,Oklahoma State
2014,PHI,Evan Turner,SF,78.00,220,27-Oct-88,us US,3,Ohio State
2014,PHI,Tony Wroten,PG,78.00,205,13-Apr-93,us US,1,Washington
2016,PHI,Nik Stauskas,SG,78.00,205,7-Oct-93,ca CA,1,Michigan
2016,PHI,Sonny Weems,SF,78.00,205,8-Jul-86,us US,3,Arkansas
2016,PHI,Tony Wroten,PG,78.00,205,13-Apr-93,us US,3,Washington
2017,PHI,Justin Anderson,SF,78.00,230,19-Nov-93,us US,1,Virginia
2017,PHI,Nik Stauskas,SG,78.00,205,7-Oct-93,ca CA,2,Michigan
2019,PHI,James Ennis III,SF,78.00,215,1-Jul-90,us US,4,Cal State Long Beach
2019,PHI,Jonathon Simmons,SF,78.00,195,14-Sep-89,us US,3,Houston
2020,PHI,Alec Burks,SG,78.00,214,20-Jul-91,us US,8,Colorado
2020,PHI,James Ennis III,SF,78.00,215,1-Jul-90,us US,5,Cal State Long Beach
2020,PHI,Glenn Robinson III,SF,78.00,222,8-Jan-94,us US,5,Michigan
2023,PHI,Danuel House Jr.,SF,78.00,220,7-Jun-93,us US,6,Texas A&M
1981,UTA,Jeff Judkins,SF,78.00,185,23-Mar-56,us US,2,Utah
1981,UTA,Dick Miller,SF,78.00,215,26-Apr-58,us US,R,Toledo
1985,UTA,John Drew,SF,78.00,205,30-Sep-54,us US,10,Gardner-Webb University
1985,UTA,Bob Hansen,SG,78.00,190,18-Jan-61,us US,1,Iowa
1988,UTA,Bob Hansen,SG,78.00,190,18-Jan-61,us US,4,Iowa
1988,UTA,Kelly Tripucka,SF,78.00,220,16-Feb-59,us US,6,Notre Dame
1991,UTA,Tony Brown,SG,78.00,185,29-Jul-60,us US,5,Arkansas
1991,UTA,Andy Toolson,SF,78.00,210,19-Jan-66,us US,R,BYU
1994,UTA,Tyrone Corbin,SF,78.00,210,31-Dec-62,us US,8,DePaul
1997,UTA,Shandon Anderson,SG,78.00,208,31-Dec-73,us US,R,Georgia
1998,UTA,Shandon Anderson,SG,78.00,208,31-Dec-73,us US,1,Georgia
2004,UTA,Gordan Giricek,SG,78.00,210,20-Jun-77,hr HR,1,
2007,UTA,Gordan Giricek,SG,78.00,210,20-Jun-77,hr HR,4,
2007,UTA,C.J. Miles,SG,78.00,220,18-Mar-87,us US,1,
2007,UTA,Roger Powell,SF,78.00,235,15-Jan-83,us US,R,Illinois
2010,UTA,C.J. Miles,SF,78.00,220,18-Mar-87,us US,4,
2011,UTA,C.J. Miles,SF,78.00,220,18-Mar-87,us US,5,
2011,UTA,Kyle Weaver,SG,78.00,201,18-Feb-86,us US,2,Washington State
2013,UTA,Alec Burks,SG,78.00,214,20-Jul-91,us US,1,Colorado
2013,UTA,DeMarre Carroll,SF,78.00,215,27-Jul-86,us US,3,"Vanderbilt, Missouri"
2014,UTA,Alec Burks,SG,78.00,214,20-Jul-91,us US,2,Colorado
2014,UTA,Mike Harris,PF,78.00,240,15-Jun-83,us US,3,Rice University
2014,UTA,Brandon Rush,SG,78.00,220,7-Jul-85,us US,5,Kansas
2016,UTA,Alec Burks,SG,78.00,214,20-Jul-91,us US,4,Colorado
2016,UTA,Chris Johnson,SF,78.00,206,29-Apr-90,us US,3,Dayton
2016,UTA,Elijah Millsap,SG,78.00,225,12-Aug-87,us US,1,"Louisiana, UAB"
2017,UTA,Alec Burks,SG,78.00,214,20-Jul-91,us US,5,Colorado
2020,UTA,Stanton Kidd,SG,78.00,215,18-Mar-92,us US,R,"South Plains College, NC Central, Colorado State"
2023,UTA,Leandro Bolmaro,SF,78.00,200,11-Sep-00,ar AR,1,
2023,UTA,Juan Toscano-Anderson,SF,78.00,209,10-Apr-93,us US,3,Marquette
1982,DEN,Glen Gondrezick,SF,78.00,218,30-Aug-55,us US,4,UNLV
1985,DEN,Calvin Natt,PF,78.00,220,8-Jan-57,us US,5,Louisiana-Monroe
1988,DEN,Maurice Martin,SF,78.00,200,2-Jul-64,us US,1,Saint Joseph's
1988,DEN,Calvin Natt,PF,78.00,220,8-Jan-57,us US,8,Louisiana-Monroe
1991,DEN,Kenny Battle,SG,78.00,210,10-Oct-64,us US,1,"Northern Illinois, Illinois"
1991,DEN,Walter Davis,SG,78.00,193,9-Sep-54,us US,13,UNC
1991,DEN,Jerome Lane,PF,78.00,230,4-Dec-66,us US,2,Pitt
1992,DEN,Kevin Brooks,SF,78.00,200,12-Oct-69,us US,R,Louisiana
1992,DEN,Walter Davis,SF,78.00,193,9-Sep-54,us US,14,UNC
1992,DEN,Jerome Lane,PF,78.00,230,4-Dec-66,us US,3,Pitt
1994,DEN,Kevin Brooks,SF,78.00,200,12-Oct-69,us US,2,Louisiana
1994,DEN,Roy Marble,SF,78.00,190,13-Dec-66,us US,1,Iowa
1997,DEN,Vincent Askew,SG,78.00,210,28-Feb-66,us US,7,Memphis
2001,DEN,Tariq Abdul-Wahad,SG,78.00,223,3-Nov-74,fr FR,3,"Michigan, San Jose State"
2001,DEN,George McCloud,SF,78.00,205,27-May-67,us US,10,Florida State
2007,DEN,J.R. Smith,SG,78.00,225,9-Sep-85,us US,2,
2010,DEN,J.R. Smith,SG,78.00,225,9-Sep-85,us US,5,
2011,DEN,J.R. Smith,SF,78.00,225,9-Sep-85,us US,6,
2013,DEN,Evan Fournier,SG,78.00,205,29-Oct-92,fr FR,R,
2013,DEN,Andre Iguodala,SG,78.00,215,28-Jan-84,us US,8,Arizona
2013,DEN,Julyan Stone,PG,78.00,200,7-Dec-88,us US,1,Texas-El Paso
2014,DEN,Evan Fournier,SG,78.00,205,29-Oct-92,fr FR,1,
2017,DEN,Alonzo Gee,SF,78.00,225,29-May-87,us US,7,Alabama
2020,DEN,PJ Dozier,SG,78.00,205,25-Oct-96,us US,2,South Carolina
2023,DEN,Christian Braun,SG,78.00,218,17-Apr-01,us US,R,Kansas
1989,MIA,Sylvester Gray,SF,78.00,230,July 8 1967,us US,R,Memphis
1992,MIA,Brian Shaw,PG,78.00,190,March 22 1966,us US,2,Saint Mary's UC Santa Barbara
1998,MIA,Brent Barry,SG,78.00,185,December 31 1971,us US,2,Oregon State
1998,MIA,Todd Day,SG,78.00,188,January 7 1970,us US,5,Arkansas
1998,MIA,Dan Majerle,SG,78.00,215,September 9 1965,us US,9,Central Michigan University
2001,MIA,Ricky Davis,SG,78.00,195,September 23 1979,us US,2,Iowa
2001,MIA,Eddie Jones,SG,78.00,190,October 20 1971,us US,6,Temple
2001,MIA,Dan Majerle,SG,78.00,215,September 9 1965,us US,12,Central Michigan University
2002,MIA,Jim Jackson,SF,78.00,220,October 14 1970,us US,9,Ohio State
2002,MIA,Eddie Jones,SG,78.00,190,October 20 1971,us US,7,Temple
2004,MIA,Eddie Jones,SG,78.00,190,October 20 1971,us US,9,Temple
2005,MIA,Shandon Anderson,SF,78.00,208,December 31 1973,us US,8,Georgia
2005,MIA,Eddie Jones,SF,78.00,190,October 20 1971,us US,10,Temple
2005,MIA,Wesley Person,SF,78.00,195,March 28 1971,us US,10,Auburn
2007,MIA,Eddie Jones,SG,78.00,190,October 20 1971,us US,12,Temple
2008,MIA,Ricky Davis,SF,78.00,195,September 23 1979,us US,9,Iowa
2011,MIA,Jerry Stackhouse,SG,78.00,218,November 5 1974,us US,15,UNC
2014,MIA,DeAndre Liggins,SG,78.00,209,March 31 1988,us US,2,Kentucky
2017,MIA,Justise Winslow,SF,78.00,222,March 26 1996,us US,1,Duke
2020,MIA,Jae Crowder,PF,78.00,235,July 6 1990,us US,7,Marquette
2020,MIA,Solomon Hill,PF,78.00,226,March 18 1991,us US,6,Arizona
2020,MIA,Andre Iguodala,SF,78.00,215,January 28 1984,us US,15,Arizona
2020,MIA,Justise Winslow,SG,78.00,222,March 26 1996,us US,4,Duke
2021,MIA,Andre Iguodala,SF,78.00,215,January 28 1984,us US,16,Arizona
2024,MIA,Jaime Jaquez Jr.,SF,78.00,225,February 18 2001,us US,R,UCLA
2001,VAN,Doug West,SG,78.00,200,May 27 1967,us US,11,Villanova
1988,SAC,Derek Smith,SG,78.00,205,November 1 1961,us US,5,Louisville
1988,SAC,Reggie Theus,SG,78.00,190,October 13 1957,us US,9,UNLV
1989,SAC,Derek Smith,SG,78.00,205,November 1 1961,us US,6,Louisville
1989,SAC,Randy Wittman,SF,78.00,210,October 28 1959,us US,5,Indiana
1991,SAC,Rick Calloway,SG,78.00,180,December 12 1966,us US,R,Indiana Kansas
1991,SAC,Bob Hansen,SG,78.00,190,January 18 1961,us US,7,Iowa
1992,SAC,Bob Hansen,SG,78.00,190,January 18 1961,us US,8,Iowa
1994,SAC,Andre Spencer,SF,78.00,210,July 20 1964,us US,1,Northern Arizona University
1998,SAC,Tariq Abdul-Wahad,SG,78.00,223,November 3 1974,fr FR,R,Michigan San Jose State
2001,SAC,Nick Anderson,SG,78.00,205,January 20 1968,us US,11,Illinois
2001,SAC,Doug Christie,SG,78.00,200,May 9 1970,us US,8,Pepperdine
2004,SAC,Doug Christie,SG,78.00,200,May 9 1970,us US,11,Pepperdine
2005,SAC,Doug Christie,SG,78.00,200,May 9 1970,us US,12,Pepperdine
2008,SAC,Dahntay Jones,SG,78.00,225,December 27 1980,us US,4,Rutgers University Duke
2010,SAC,Tyreke Evans,SG,78.00,220,September 19 1989,us US,R,Memphis
2010,SAC,Ime Udoka,SG,78.00,215,August 9 1977,us US,5,San Francisco Portland State
2011,SAC,Tyreke Evans,SG,78.00,220,September 19 1989,us US,1,Memphis
2014,SAC,Chuck Hayes,C,78.00,240,June 11 1983,us US,8,Kentucky
2014,SAC,Greivis Vasquez,PG,78.00,217,January 16 1987,ve VE,3,Maryland
2017,SAC,Tyreke Evans,SF,78.00,220,September 19 1989,us US,7,Memphis
2017,SAC,Malachi Richardson,SG,78.00,205,January 5 1996,us US,R,Syracuse
2021,SAC,Glenn Robinson III,SF,78.00,222,January 8 1994,us US,6,Michigan
2021,SAC,Robert Woodard II,SF,78.00,235,September 22 1999,us US,R,Mississippi State
2023,SAC,PJ Dozier,SF,78.00,205,October 25 1996,us US,5,South Carolina
2023,SAC,Keon Ellis,SG,78.00,175,January 8 2000,us US,R,Florida SouthWestern State College Alabama
2023,SAC,Chima Moneke,SF,78.00,222,December 24 1995,ng NG,R,Northeast Community College UC-Davis
2024,SAC,Chris Duarte,SF,78.00,190,June 13 1997,do DO,2,Oregon
2024,SAC,Keon Ellis,SG,78.00,175,January 8 2000,us US,1,Florida SouthWestern State College Alabama
2024,SAC,Colby Jones,SG,78.00,205,May 28 2002,us US,R,Xavier
2024,SAC,Juan Toscano-Anderson,SF,78.00,209,April 10 1993,us US,4,Marquette
2024,ORL,Chuma Okeke,SF,78.00,229,August 18 1998,us US,3,Auburn
2024,ORL,Trevelin Queen,SG,78.00,190,February 25 1997,us US,2,College of Marin New Mexico Military Institute New Mexico State
2023,ORL,Chuma Okeke,SF,78.00,229,August 18 1998,us US,2,Auburn
2023,ORL,Terrence Ross,SG,78.00,206,February 5 1991,us US,10,Washington
1991,ORL,Nick Anderson,SG,78.00,205,January 20 1968,us US,1,Illinois
1992,ORL,Nick Anderson,SG,78.00,205,January 20 1968,us US,2,Illinois
1992,ORL,Anthony Bowie,SG,78.00,190,November 9 1963,us US,2,Oklahoma
1995,ORL,Nick Anderson,SG,78.00,205,January 20 1968,us US,5,Illinois
1995,ORL,Anthony Bowie,SG,78.00,190,November 9 1963,us US,5,Oklahoma
1995,ORL,Brian Shaw,PG,78.00,190,March 22 1966,us US,5,Saint Mary's UC Santa Barbara
1998,ORL,Nick Anderson,SF,78.00,205,January 20 1968,us US,8,Illinois
1998,ORL,Gerald Wilkins,SG,78.00,185,September 11 1963,us US,11,Chattanooga
2002,ORL,Jud Buechler,SF,78.00,220,June 19 1968,us US,11,Arizona
2002,ORL,Jeryl Sasser,SG,78.00,200,February 13 1979,us US,R,SMU
2004,ORL,Reece Gaines,PG,78.00,205,January 7 1981,us US,R,Louisville
2004,ORL,Gordan Giri?ek,SF,78.00,210,June 20 1977,hr HR,1,
2005,ORL,Doug Christie,SG,78.00,200,May 9 1970,us US,12,Pepperdine
2005,ORL,Mark Jones,SF,78.00,215,May 25 1975,us US,R,Minnesota Central Florida
2011,ORL,Vince Carter,SG,78.00,220,January 26 1977,us US,12,UNC
2011,ORL,Mickael Pietrus,SF,78.00,215,February 7 1982,gp GP,7,
2011,ORL,Jason Richardson,SG,78.00,220,January 20 1981,us US,9,Michigan State
2011,ORL,Quentin Richardson,SF,78.00,223,April 13 1980,us US,10,DePaul
2017,ORL,Evan Fournier,SG,78.00,205,October 29 1992,fr FR,4,
2017,ORL,Patricio Garino,SG,78.00,210,May 17 1993,ar AR,R,George Washington
2017,ORL,Terrence Ross,SF,78.00,206,February 5 1991,us US,4,Washington
2020,ORL,Gary Clark,SF,78.00,225,November 16 1994,us US,1,Cincinnati
2020,ORL,James Ennis III,SG,78.00,215,July 1 1990,us US,5,Cal State Long Beach
2020,ORL,Evan Fournier,SF,78.00,205,October 29 1992,fr FR,7,
2020,ORL,Wes Iwundu,SF,78.00,195,December 20 1994,us US,2,Kansas State
2020,ORL,Terrence Ross,SG,78.00,206,February 5 1991,us US,7,Washington
2021,ORL,Dwayne Bacon,SG,78.00,221,August 30 1995,us US,3,Florida State
2021,ORL,Ignas Brazdeikis,SF,78.00,221,January 8 1999,lt LT,1,Michigan
2021,ORL,Gary Clark,SF,78.00,225,November 16 1994,us US,2,Cincinnati
2021,ORL,James Ennis III,SF,78.00,215,July 1 1990,us US,6,Cal State Long Beach
2021,ORL,Evan Fournier,SF,78.00,205,October 29 1992,fr FR,8,
2021,ORL,Chuma Okeke,PF,78.00,229,August 18 1998,us US,R,Auburn
2021,ORL,Terrence Ross,SG,78.00,206,February 5 1991,us US,8,Washington
2011,OKC,Thabo Sefolosha,SG,78.00,215,May 2 1984,ch CH,4,
2012,OKC,Lazar Hayward,SF,78.00,225,November 26 1986,us US,1,Marquette
2012,OKC,Thabo Sefolosha,SG,78.00,215,May 2 1984,ch CH,5,
2014,OKC,Thabo Sefolosha,SG,78.00,215,May 2 1984,ch CH,7,
2014,OKC,Reggie Williams,SF,78.00,205,September 14 1986,us US,4,Virginia Military Institute
2017,OKC,Alex Abrines,SG,78.00,200,August 1 1993,es ES,R,
2017,OKC,Doug McDermott,SF,78.00,225,January 3 1992,us US,2,Creighton
2018,OKC,Alex Abrines,SG,78.00,200,August 1 1993,es ES,1,
2018,OKC,PJ Dozier,PG,78.00,205,October 25 1996,us US,R,South Carolina
2018,OKC,Terrance Ferguson,SG,78.00,190,May 17 1998,us US,R,
2021,OKC,Charlie Brown Jr.,SG,78.00,199,February 2 1997,us US,1,Saint Joseph's
2021,OKC,Shai Gilgeous-Alexander,SG,78.00,180,July 12 1998,ca CA,2,Kentucky
2021,OKC,Darius Miller,SF,78.00,225,March 21 1990,us US,5,Kentucky
2021,OKC,Kenrich Williams,PF,78.00,210,December 2 1994,us US,2,TCU
2024,OKC,Shai Gilgeous-Alexander,PG,78.00,180,July 12 1998,ca CA,5,Kentucky
2024,OKC,Lindy Waters III,SG,78.00,215,July 28 1997,us US,2,Oklahoma State
2024,OKC,Aaron Wiggins,SG,78.00,200,January 2 1999,us US,2,Maryland
2024,OKC,Kenrich Williams,PF,78.00,210,December 2 1994,us US,5,TCU
2005,NOH,Casey Jacobsen,SG,78.00,215,March 19 1981,us US,2,Stanford
2005,NOH,J.R. Smith,SG,78.00,225,September 9 1985,us US,R,
2014,NOP,Tyreke Evans,SF,78.00,220,September 19 1989,us US,4,Memphis
2014,NOP,Darius Miller,SF,78.00,225,March 21 1990,us US,1,Kentucky
2015,NOP,Tyreke Evans,SG,78.00,220,September 19 1989,us US,5,Memphis
2015,NOP,Darius Miller,SF,78.00,225,March 21 1990,us US,2,Kentucky
2018,NOP,Solomon Hill,SF,78.00,226,March 18 1991,us US,4,Arizona
2018,NOP,DeAndre Liggins,SG,78.00,209,March 31 1988,us US,4,Kentucky
2018,NOP,Darius Miller,SF,78.00,225,March 21 1990,us US,3,Kentucky
2021,NOP,Lonzo Ball,PG,78.00,190,October 27 1997,us US,3,UCLA
2021,NOP,Wes Iwundu,SF,78.00,195,December 20 1994,us US,3,Kansas State
2021,NOP,Zion Williamson,PF,78.00,284,July 6 2000,us US,1,Duke
2024,NOP,Matt Ryan,SF,78.00,215,April 17 1997,us US,2,Notre Dame Vanderbilt Chattanooga
2024,NOP,Zion Williamson,PF,78.00,284,July 6 2000,us US,3,Duke
1992,MIN,Tyrone Corbin,SF,78.00,210,December 31 1962,us US,6,DePaul
1992,MIN,Sam Mitchell,PF,78.00,210,September 2 1963,us US,2,Mercer University
1992,MIN,Doug West,SG,78.00,200,May 27 1967,us US,2,Villanova
1995,MIN,Doug West,SG,78.00,200,May 27 1967,us US,5,Villanova
1998,MIN,Sam Mitchell,SF,78.00,210,September 2 1963,us US,8,Mercer University
1998,MIN,Doug West,SG,78.00,200,May 27 1967,us US,8,Villanova
2001,MIN,Todd Day,SG,78.00,188,January 7 1970,us US,7,Arkansas
2001,MIN,Sam Mitchell,SF,78.00,210,September 2 1963,us US,11,Mercer University
2002,MIN,Sam Mitchell,SF,78.00,210,September 2 1963,us US,12,Mercer University
2007,MIN,Ricky Davis,SF,78.00,195,September 23 1979,us US,8,Iowa
2008,MIN,Gerald Green,SF,78.00,205,January 26 1986,us US,2,
2008,MIN,Kirk Snyder,SF,78.00,225,June 5 1983,us US,3,Nevada
2011,MIN,Lazar Hayward,SF,78.00,225,November 26 1986,us US,R,Marquette
2014,MIN,Shabazz Muhammad,SG,78.00,223,November 13 1992,us US,R,UCLA
2014,MIN,Alexey Shved,SG,78.00,190,December 16 1988,ru RU,1,
2017,MIN,Shabazz Muhammad,SF,78.00,223,November 13 1992,us US,3,UCLA
